date,fighter,weightclass,rank
2/3/14,Jessica Andrade,Women's Bantamweight,9
2/3/14,Julianna Pena,Women's Bantamweight,10
2/3/14,Germaine de Randamie,Women's Bantamweight,11
2/3/14,Bethe Correia,Women's Bantamweight,12
2/3/14,Raquel Pennington,Women's Bantamweight,13
2/3/14,Jessamyn Duke,Women's Bantamweight,14
2/3/14,Jessica Rakoczy,Women's Bantamweight,15
2/17/14,Jon Jones,Pound-for-Pound,1
2/17/14,Jose Aldo,Pound-for-Pound,2
2/17/14,Cain Velasquez,Pound-for-Pound,3
2/17/14,Renan Barao,Pound-for-Pound,3
2/17/14,Demetrious Johnson,Pound-for-Pound,5
2/17/14,Chris Weidman,Pound-for-Pound,6
2/17/14,Anderson Silva,Pound-for-Pound,7
2/17/14,Anthony Pettis,Pound-for-Pound,8
2/17/14,Ronda Rousey,Pound-for-Pound,9
2/17/14,Johny Hendricks,Pound-for-Pound,10
2/17/14,Vitor Belfort,Pound-for-Pound,11
2/17/14,Benson Henderson,Pound-for-Pound,12
2/17/14,Gilbert Melendez,Pound-for-Pound,13
2/17/14,Urijah Faber,Pound-for-Pound,14
2/17/14,Alexander Gustafsson,Pound-for-Pound,15
2/17/14,Demetrious Johnson,Flyweight,0
2/17/14,John Dodson,Flyweight,1
2/17/14,Joseph Benavidez,Flyweight,2
2/17/14,Ian McCall,Flyweight,3
2/17/14,John Moraga,Flyweight,4
2/17/14,Ali Bagautinov,Flyweight,5
2/17/14,John Lineker,Flyweight,6
2/17/14,Jussier Formiga,Flyweight,7
2/17/14,Timothy Elliott,Flyweight,8
2/17/14,Chris Cariaso,Flyweight,9
2/17/14,Zach Makovsky,Flyweight,10
2/17/14,Louis Gaudinot,Flyweight,11
2/17/14,Scott Jorgensen,Flyweight,12
2/17/14,Dustin Ortiz,Flyweight,13
2/17/14,Darrell Montague,Flyweight,14
2/17/14,Darren Uyenoyama,Flyweight,15
2/17/14,Renan Barao,Bantamweight,0
2/17/14,Urijah Faber,Bantamweight,1
2/17/14,Michael McDonald,Bantamweight,2
2/17/14,Raphael Assuncao,Bantamweight,3
2/17/14,Eddie Wineland,Bantamweight,4
2/17/14,TJ Dillashaw,Bantamweight,5
2/17/14,Brad Pickett,Bantamweight,6
2/17/14,Takeya Mizugaki,Bantamweight,7
2/17/14,Mike Easton,Bantamweight,8
2/17/14,Dominick Cruz,Bantamweight,9
2/17/14,Iuri Alcantara,Bantamweight,10
2/17/14,Francisco Rivera,Bantamweight,11
2/17/14,Erik Perez,Bantamweight,12
2/17/14,Alex Caceres,Bantamweight,13
2/17/14,Ivan Menjivar,Bantamweight,14
2/17/14,Bryan Caraway,Bantamweight,15
2/17/14,Jose Aldo,Featherweight,0
2/17/14,Chad Mendes,Featherweight,1
2/17/14,Frankie Edgar,Featherweight,2
2/17/14,Ricardo Lamas,Featherweight,3
2/17/14,Cub Swanson,Featherweight,4
2/17/14,Chan Sung Jung,Featherweight,5
2/17/14,Dustin Poirier,Featherweight,6
2/17/14,Dennis Siver,Featherweight,7
2/17/14,Nik Lentz,Featherweight,8
2/17/14,Clay Guida,Featherweight,9
2/17/14,Jeremy Stephens,Featherweight,10
2/17/14,Darren Elkins,Featherweight,11
2/17/14,Erik Koch,Featherweight,12
2/17/14,Conor McGregor,Featherweight,13
2/17/14,Dennis Bermudez,Featherweight,14
2/17/14,Tatsuya Kawajiri,Featherweight,15
2/17/14,Anthony Pettis,Lightweight,0
2/17/14,Benson Henderson,Lightweight,1
2/17/14,Gilbert Melendez,Lightweight,2
2/17/14,TJ Grant,Lightweight,3
2/17/14,Josh Thomson,Lightweight,4
2/17/14,Nate Diaz,Lightweight,5
2/17/14,Rafael dos Anjos,Lightweight,6
2/17/14,Khabib Nurmagomedov,Lightweight,7
2/17/14,Donald Cerrone,Lightweight,8
2/17/14,Jim Miller,Lightweight,9
2/17/14,Gray Maynard,Lightweight,10
2/17/14,Edson Barboza,Lightweight,11
2/17/14,Bobby Green,Lightweight,12
2/17/14,Rustam Khabilov,Lightweight,13
2/17/14,Michael Johnson,Lightweight,14
2/17/14,Diego Sanchez,Lightweight,15
2/17/14,Johny Hendricks,Welterweight,1
2/17/14,Carlos Condit,Welterweight,2
2/17/14,Robbie Lawler,Welterweight,3
2/17/14,Rory MacDonald,Welterweight,4
2/17/14,Jake Ellenberger,Welterweight,5
2/17/14,Demian Maia,Welterweight,6
2/17/14,Jake Shields,Welterweight,7
2/17/14,Matt Brown,Welterweight,8
2/17/14,Tarec Saffiedine,Welterweight,9
2/17/14,Tyron Woodley,Welterweight,10
2/17/14,Dong Hyun Kim,Welterweight,11
2/17/14,Hector Lombard,Welterweight,12
2/17/14,Josh Koscheck,Welterweight,13
2/17/14,Rick Story,Welterweight,14
2/17/14,Mike Pyle,Welterweight,15
2/17/14,Chris Weidman,Middleweight,0
2/17/14,Anderson Silva,Middleweight,1
2/17/14,Vitor Belfort,Middleweight,2
2/17/14,Lyoto Machida,Middleweight,3
2/17/14,Jacare Souza,Middleweight,4
2/17/14,Michael Bisping,Middleweight,5
2/17/14,Luke Rockhold,Middleweight,6
2/17/14,Mark Munoz,Middleweight,7
2/17/14,Tim Kennedy,Middleweight,8
2/17/14,Francis Carmont,Middleweight,9
2/17/14,Costas Philippou,Middleweight,10
2/17/14,Tim Boetsch,Middleweight,11
2/17/14,Gegard Mousasi,Middleweight,12
2/17/14,Alan Belcher,Middleweight,13
2/17/14,Brad Tavares,Middleweight,14
2/17/14,Chael Sonnen,Middleweight,15
2/17/14,Jon Jones,Light Heavyweight,0
2/17/14,Alexander Gustafsson,Light Heavyweight,1
2/17/14,Glover Teixeira,Light Heavyweight,2
2/17/14,Rashad Evans,Light Heavyweight,3
2/17/14,Phil Davis,Light Heavyweight,4
2/17/14,Antonio Rogerio Nogueira,Light Heavyweight,5
2/17/14,Mauricio Rua,Light Heavyweight,6
2/17/14,Dan Henderson,Light Heavyweight,7
2/17/14,Chael Sonnen,Light Heavyweight,8
2/17/14,Ryan Bader,Light Heavyweight,9
2/17/14,Jimi Manuwa,Light Heavyweight,10
2/17/14,Gegard Mousasi,Light Heavyweight,11
2/17/14,Vitor Belfort,Light Heavyweight,12
2/17/14,James Te-Huna,Light Heavyweight,13
2/17/14,Rafael Cavalcante,Light Heavyweight,14
2/17/14,Lyoto Machida,Light Heavyweight,15
2/17/14,Cain Velasquez,Heavyweight,0
2/17/14,Junior Dos Santos,Heavyweight,1
2/17/14,Fabricio Werdum,Heavyweight,2
2/17/14,Travis Browne,Heavyweight,3
2/17/14,Daniel Cormier,Heavyweight,4
2/17/14,Antonio Silva,Heavyweight,5
2/17/14,Josh Barnett,Heavyweight,6
2/17/14,Alistair Overeem,Heavyweight,7
2/17/14,Stipe Miocic,Heavyweight,8
2/17/14,Mark Hunt,Heavyweight,9
2/17/14,Roy Nelson,Heavyweight,10
2/17/14,Frank Mir,Heavyweight,11
2/17/14,Gabriel Gonzaga,Heavyweight,12
2/17/14,Minotauro Nogueira,Heavyweight,13
2/17/14,Stefan Struve,Heavyweight,14
2/17/14,Brendan Schaub,Heavyweight,15
2/17/14,Ronda Rousey,Women's Bantamweight,0
2/17/14,Cat Zingano,Women's Bantamweight,1
2/17/14,Miesha Tate,Women's Bantamweight,2
2/17/14,Alexis Davis,Women's Bantamweight,3
2/17/14,Sara McMann,Women's Bantamweight,4
2/17/14,Jessica Eye,Women's Bantamweight,5
2/17/14,Sarah Kaufman,Women's Bantamweight,6
2/17/14,Liz Carmouche,Women's Bantamweight,7
2/17/14,Amanda Nunes,Women's Bantamweight,8
2/17/14,Jessica Andrade,Women's Bantamweight,9
2/17/14,Julianna Pena,Women's Bantamweight,10
2/17/14,Germaine de Randamie,Women's Bantamweight,11
2/17/14,Bethe Correia,Women's Bantamweight,12
2/17/14,Raquel Pennington,Women's Bantamweight,13
2/17/14,Jessamyn Duke,Women's Bantamweight,14
2/17/14,Jessica Rakoczy,Women's Bantamweight,15
2/24/14,Jon Jones,Pound-for-Pound,1
2/24/14,Jose Aldo,Pound-for-Pound,2
2/24/14,Renan Barao,Pound-for-Pound,3
2/24/14,Cain Velasquez,Pound-for-Pound,4
2/24/14,Demetrious Johnson,Pound-for-Pound,5
2/24/14,Chris Weidman,Pound-for-Pound,6
2/24/14,Anderson Silva,Pound-for-Pound,7
2/24/14,Anthony Pettis,Pound-for-Pound,8
2/24/14,Ronda Rousey,Pound-for-Pound,9
2/24/14,Johny Hendricks,Pound-for-Pound,10
2/24/14,Vitor Belfort,Pound-for-Pound,11
2/24/14,Benson Henderson,Pound-for-Pound,12
2/24/14,Gilbert Melendez,Pound-for-Pound,13
2/24/14,Urijah Faber,Pound-for-Pound,14
2/24/14,Alexander Gustafsson,Pound-for-Pound,15
2/24/14,Demetrious Johnson,Flyweight,0
2/24/14,John Dodson,Flyweight,1
2/24/14,Joseph Benavidez,Flyweight,2
2/24/14,Ian McCall,Flyweight,3
2/24/14,John Moraga,Flyweight,4
2/24/14,Ali Bagautinov,Flyweight,5
2/24/14,John Lineker,Flyweight,6
2/24/14,Jussier Formiga,Flyweight,7
2/24/14,Timothy Elliott,Flyweight,8
2/24/14,Chris Cariaso,Flyweight,9
2/24/14,Zach Makovsky,Flyweight,10
2/24/14,Louis Gaudinot,Flyweight,11
2/24/14,Dustin Ortiz,Flyweight,12
2/24/14,Scott Jorgensen,Flyweight,13
2/24/14,Darrell Montague,Flyweight,14
2/24/14,Darren Uyenoyama,Flyweight,15
2/24/14,Renan Barao,Bantamweight,0
2/24/14,Urijah Faber,Bantamweight,1
2/24/14,Michael McDonald,Bantamweight,2
2/24/14,Raphael Assuncao,Bantamweight,3
2/24/14,Eddie Wineland,Bantamweight,4
2/24/14,TJ Dillashaw,Bantamweight,5
2/24/14,Brad Pickett,Bantamweight,6
2/24/14,Takeya Mizugaki,Bantamweight,7
2/24/14,Mike Easton,Bantamweight,8
2/24/14,Iuri Alcantara,Bantamweight,9
2/24/14,Dominick Cruz,Bantamweight,10
2/24/14,Francisco Rivera,Bantamweight,11
2/24/14,Erik Perez,Bantamweight,12
2/24/14,Alex Caceres,Bantamweight,13
2/24/14,Bryan Caraway,Bantamweight,14
2/24/14,Ivan Menjivar,Bantamweight,15
2/24/14,Jose Aldo,Featherweight,0
2/24/14,Chad Mendes,Featherweight,1
2/24/14,Frankie Edgar,Featherweight,2
2/24/14,Ricardo Lamas,Featherweight,3
2/24/14,Cub Swanson,Featherweight,4
2/24/14,Chan Sung Jung,Featherweight,5
2/24/14,Dustin Poirier,Featherweight,6
2/24/14,Dennis Siver,Featherweight,7
2/24/14,Nik Lentz,Featherweight,8
2/24/14,Clay Guida,Featherweight,9
2/24/14,Jeremy Stephens,Featherweight,10
2/24/14,Darren Elkins,Featherweight,11
2/24/14,Conor McGregor,Featherweight,12
2/24/14,Dennis Bermudez,Featherweight,13
2/24/14,Tatsuya Kawajiri,Featherweight,14
2/24/14,Erik Koch,Featherweight,15
2/24/14,Anthony Pettis,Lightweight,0
2/24/14,Benson Henderson,Lightweight,1
2/24/14,Gilbert Melendez,Lightweight,2
2/24/14,TJ Grant,Lightweight,3
2/24/14,Josh Thomson,Lightweight,4
2/24/14,Nate Diaz,Lightweight,5
2/24/14,Rafael dos Anjos,Lightweight,6
2/24/14,Khabib Nurmagomedov,Lightweight,7
2/24/14,Donald Cerrone,Lightweight,8
2/24/14,Jim Miller,Lightweight,9
2/24/14,Gray Maynard,Lightweight,10
2/24/14,Edson Barboza,Lightweight,11
2/24/14,Bobby Green,Lightweight,12
2/24/14,Michael Johnson,Lightweight,13
2/24/14,Rustam Khabilov,Lightweight,14
2/24/14,Diego Sanchez,Lightweight,15
2/24/14,Johny Hendricks,Welterweight,1
2/24/14,Carlos Condit,Welterweight,2
2/24/14,Robbie Lawler,Welterweight,3
2/24/14,Rory MacDonald,Welterweight,4
2/24/14,Jake Ellenberger,Welterweight,5
2/24/14,Demian Maia,Welterweight,6
2/24/14,Jake Shields,Welterweight,7
2/24/14,Matt Brown,Welterweight,8
2/24/14,Tarec Saffiedine,Welterweight,9
2/24/14,Tyron Woodley,Welterweight,10
2/24/14,Dong Hyun Kim,Welterweight,11
2/24/14,Hector Lombard,Welterweight,12
2/24/14,Mike Pyle,Welterweight,13
2/24/14,Rick Story,Welterweight,14
2/24/14,Josh Koscheck,Welterweight,15
2/24/14,Chris Weidman,Middleweight,0
2/24/14,Anderson Silva,Middleweight,1
2/24/14,Vitor Belfort,Middleweight,2
2/24/14,Lyoto Machida,Middleweight,3
2/24/14,Jacare Souza,Middleweight,4
2/24/14,Michael Bisping,Middleweight,5
2/24/14,Luke Rockhold,Middleweight,6
2/24/14,Mark Munoz,Middleweight,7
2/24/14,Tim Kennedy,Middleweight,8
2/24/14,Francis Carmont,Middleweight,9
2/24/14,Costas Philippou,Middleweight,10
2/24/14,Tim Boetsch,Middleweight,11
2/24/14,Gegard Mousasi,Middleweight,12
2/24/14,Alan Belcher,Middleweight,13
2/24/14,Brad Tavares,Middleweight,14
2/24/14,Yoel Romero,Middleweight,15
2/24/14,Jon Jones,Light Heavyweight,0
2/24/14,Alexander Gustafsson,Light Heavyweight,1
2/24/14,Glover Teixeira,Light Heavyweight,2
2/24/14,Rashad Evans,Light Heavyweight,3
2/24/14,Phil Davis,Light Heavyweight,4
2/24/14,Antonio Rogerio Nogueira,Light Heavyweight,5
2/24/14,Daniel Cormier,Light Heavyweight,6
2/24/14,Mauricio Rua,Light Heavyweight,7
2/24/14,Dan Henderson,Light Heavyweight,8
2/24/14,Chael Sonnen,Light Heavyweight,9
2/24/14,Ryan Bader,Light Heavyweight,10
2/24/14,Jimi Manuwa,Light Heavyweight,11
2/24/14,Vitor Belfort,Light Heavyweight,12
2/24/14,Gegard Mousasi,Light Heavyweight,13
2/24/14,James Te-Huna,Light Heavyweight,14
2/24/14,Rafael Cavalcante,Light Heavyweight,15
2/24/14,Cain Velasquez,Heavyweight,0
2/24/14,Junior Dos Santos,Heavyweight,1
2/24/14,Fabricio Werdum,Heavyweight,2
2/24/14,Travis Browne,Heavyweight,3
2/24/14,Antonio Silva,Heavyweight,4
2/24/14,Josh Barnett,Heavyweight,5
2/24/14,Alistair Overeem,Heavyweight,6
2/24/14,Stipe Miocic,Heavyweight,7
2/24/14,Mark Hunt,Heavyweight,8
2/24/14,Roy Nelson,Heavyweight,9
2/24/14,Frank Mir,Heavyweight,10
2/24/14,Minotauro Nogueira,Heavyweight,11
2/24/14,Gabriel Gonzaga,Heavyweight,12
2/24/14,Daniel Cormier,Heavyweight,13
2/24/14,Stefan Struve,Heavyweight,14
2/24/14,Brendan Schaub,Heavyweight,15
2/24/14,Ronda Rousey,Women's Bantamweight,0
2/24/14,Cat Zingano,Women's Bantamweight,1
2/24/14,Alexis Davis,Women's Bantamweight,2
2/24/14,Miesha Tate,Women's Bantamweight,3
2/24/14,Sara McMann,Women's Bantamweight,4
2/24/14,Sarah Kaufman,Women's Bantamweight,5
2/24/14,Jessica Eye,Women's Bantamweight,6
2/24/14,Liz Carmouche,Women's Bantamweight,7
2/24/14,Amanda Nunes,Women's Bantamweight,8
2/24/14,Jessica Andrade,Women's Bantamweight,9
2/24/14,Julianna Pena,Women's Bantamweight,10
2/24/14,Germaine de Randamie,Women's Bantamweight,11
2/24/14,Bethe Correia,Women's Bantamweight,12
2/24/14,Raquel Pennington,Women's Bantamweight,13
2/24/14,Jessamyn Duke,Women's Bantamweight,14
2/24/14,Jessica Rakoczy,Women's Bantamweight,15
3/3/14,Jon Jones,Pound-for-Pound,1
3/3/14,Jose Aldo,Pound-for-Pound,2
3/3/14,Renan Barao,Pound-for-Pound,3
3/3/14,Cain Velasquez,Pound-for-Pound,4
3/3/14,Chris Weidman,Pound-for-Pound,5
3/3/14,Demetrious Johnson,Pound-for-Pound,6
3/3/14,Anthony Pettis,Pound-for-Pound,7
3/3/14,Anderson Silva,Pound-for-Pound,8
3/3/14,Ronda Rousey,Pound-for-Pound,9
3/3/14,Johny Hendricks,Pound-for-Pound,10
3/3/14,Vitor Belfort,Pound-for-Pound,11
3/3/14,Benson Henderson,Pound-for-Pound,12
3/3/14,Gilbert Melendez,Pound-for-Pound,13
3/3/14,Alexander Gustafsson,Pound-for-Pound,14
3/3/14,Urijah Faber,Pound-for-Pound,15
3/3/14,Demetrious Johnson,Flyweight,0
3/3/14,John Dodson,Flyweight,1
3/3/14,Joseph Benavidez,Flyweight,2
3/3/14,Ian McCall,Flyweight,3
3/3/14,John Moraga,Flyweight,4
3/3/14,Ali Bagautinov,Flyweight,5
3/3/14,Jussier Formiga,Flyweight,6
3/3/14,John Lineker,Flyweight,7
3/3/14,Timothy Elliott,Flyweight,8
3/3/14,Chris Cariaso,Flyweight,9
3/3/14,Zach Makovsky,Flyweight,10
3/3/14,Louis Gaudinot,Flyweight,11
3/3/14,Scott Jorgensen,Flyweight,12
3/3/14,Dustin Ortiz,Flyweight,13
3/3/14,Darrell Montague,Flyweight,14
3/3/14,Darren Uyenoyama,Flyweight,15
3/3/14,Renan Barao,Bantamweight,0
3/3/14,Urijah Faber,Bantamweight,1
3/3/14,Michael McDonald,Bantamweight,2
3/3/14,Raphael Assuncao,Bantamweight,2
3/3/14,Eddie Wineland,Bantamweight,4
3/3/14,TJ Dillashaw,Bantamweight,5
3/3/14,Brad Pickett,Bantamweight,6
3/3/14,Takeya Mizugaki,Bantamweight,7
3/3/14,Mike Easton,Bantamweight,8
3/3/14,Iuri Alcantara,Bantamweight,9
3/3/14,Dominick Cruz,Bantamweight,10
3/3/14,Francisco Rivera,Bantamweight,11
3/3/14,Erik Perez,Bantamweight,12
3/3/14,Alex Caceres,Bantamweight,13
3/3/14,Bryan Caraway,Bantamweight,14
3/3/14,Wilson Reis,Bantamweight,15
3/3/14,Jose Aldo,Featherweight,0
3/3/14,Chad Mendes,Featherweight,1
3/3/14,Frankie Edgar,Featherweight,2
3/3/14,Ricardo Lamas,Featherweight,3
3/3/14,Cub Swanson,Featherweight,4
3/3/14,Chan Sung Jung,Featherweight,5
3/3/14,Dustin Poirier,Featherweight,6
3/3/14,Dennis Siver,Featherweight,7
3/3/14,Nik Lentz,Featherweight,8
3/3/14,Clay Guida,Featherweight,9
3/3/14,Jeremy Stephens,Featherweight,10
3/3/14,Darren Elkins,Featherweight,11
3/3/14,Dennis Bermudez,Featherweight,12
3/3/14,Tatsuya Kawajiri,Featherweight,13
3/3/14,Conor McGregor,Featherweight,14
3/3/14,Erik Koch,Featherweight,15
3/3/14,Anthony Pettis,Lightweight,0
3/3/14,Benson Henderson,Lightweight,1
3/3/14,Gilbert Melendez,Lightweight,2
3/3/14,TJ Grant,Lightweight,3
3/3/14,Josh Thomson,Lightweight,4
3/3/14,Nate Diaz,Lightweight,5
3/3/14,Rafael dos Anjos,Lightweight,6
3/3/14,Khabib Nurmagomedov,Lightweight,7
3/3/14,Donald Cerrone,Lightweight,8
3/3/14,Jim Miller,Lightweight,9
3/3/14,Gray Maynard,Lightweight,10
3/3/14,Edson Barboza,Lightweight,11
3/3/14,Bobby Green,Lightweight,12
3/3/14,Rustam Khabilov,Lightweight,13
3/3/14,Michael Johnson,Lightweight,14
3/3/14,Diego Sanchez,Lightweight,15
3/3/14,Johny Hendricks,Welterweight,1
3/3/14,Carlos Condit,Welterweight,2
3/3/14,Robbie Lawler,Welterweight,3
3/3/14,Rory MacDonald,Welterweight,4
3/3/14,Jake Ellenberger,Welterweight,5
3/3/14,Jake Shields,Welterweight,6
3/3/14,Matt Brown,Welterweight,7
3/3/14,Demian Maia,Welterweight,8
3/3/14,Tarec Saffiedine,Welterweight,9
3/3/14,Dong Hyun Kim,Welterweight,10
3/3/14,Tyron Woodley,Welterweight,11
3/3/14,Hector Lombard,Welterweight,12
3/3/14,Mike Pyle,Welterweight,13
3/3/14,Rick Story,Welterweight,14
3/3/14,Josh Koscheck,Welterweight,15
3/3/14,Chris Weidman,Middleweight,0
3/3/14,Anderson Silva,Middleweight,1
3/3/14,Vitor Belfort,Middleweight,2
3/3/14,Lyoto Machida,Middleweight,3
3/3/14,Jacare Souza,Middleweight,4
3/3/14,Michael Bisping,Middleweight,5
3/3/14,Luke Rockhold,Middleweight,6
3/3/14,Mark Munoz,Middleweight,7
3/3/14,Tim Kennedy,Middleweight,8
3/3/14,Francis Carmont,Middleweight,9
3/3/14,Costas Philippou,Middleweight,10
3/3/14,Tim Boetsch,Middleweight,11
3/3/14,Gegard Mousasi,Middleweight,12
3/3/14,Alan Belcher,Middleweight,13
3/3/14,Brad Tavares,Middleweight,14
3/3/14,Yoel Romero,Middleweight,15
3/3/14,Jon Jones,Light Heavyweight,0
3/3/14,Alexander Gustafsson,Light Heavyweight,1
3/3/14,Glover Teixeira,Light Heavyweight,2
3/3/14,Rashad Evans,Light Heavyweight,3
3/3/14,Phil Davis,Light Heavyweight,4
3/3/14,Daniel Cormier,Light Heavyweight,5
3/3/14,Antonio Rogerio Nogueira,Light Heavyweight,6
3/3/14,Mauricio Rua,Light Heavyweight,7
3/3/14,Dan Henderson,Light Heavyweight,8
3/3/14,Chael Sonnen,Light Heavyweight,9
3/3/14,Ryan Bader,Light Heavyweight,10
3/3/14,Jimi Manuwa,Light Heavyweight,11
3/3/14,Vitor Belfort,Light Heavyweight,12
3/3/14,Gegard Mousasi,Light Heavyweight,13
3/3/14,James Te-Huna,Light Heavyweight,14
3/3/14,Rafael Cavalcante,Light Heavyweight,15
3/3/14,Cain Velasquez,Heavyweight,0
3/3/14,Junior Dos Santos,Heavyweight,1
3/3/14,Fabricio Werdum,Heavyweight,2
3/3/14,Travis Browne,Heavyweight,3
3/3/14,Antonio Silva,Heavyweight,4
3/3/14,Josh Barnett,Heavyweight,5
3/3/14,Alistair Overeem,Heavyweight,6
3/3/14,Stipe Miocic,Heavyweight,7
3/3/14,Mark Hunt,Heavyweight,8
3/3/14,Roy Nelson,Heavyweight,9
3/3/14,Frank Mir,Heavyweight,10
3/3/14,Minotauro Nogueira,Heavyweight,11
3/3/14,Gabriel Gonzaga,Heavyweight,12
3/3/14,Stefan Struve,Heavyweight,13
3/3/14,Brendan Schaub,Heavyweight,14
3/3/14,Daniel Cormier,Heavyweight,15
3/3/14,Ronda Rousey,Women's Bantamweight,0
3/3/14,Cat Zingano,Women's Bantamweight,1
3/3/14,Alexis Davis,Women's Bantamweight,2
3/3/14,Miesha Tate,Women's Bantamweight,3
3/3/14,Sara McMann,Women's Bantamweight,4
3/3/14,Sarah Kaufman,Women's Bantamweight,5
3/3/14,Jessica Eye,Women's Bantamweight,6
3/3/14,Liz Carmouche,Women's Bantamweight,7
3/3/14,Amanda Nunes,Women's Bantamweight,8
3/3/14,Jessica Andrade,Women's Bantamweight,9
3/3/14,Julianna Pena,Women's Bantamweight,10
3/3/14,Germaine de Randamie,Women's Bantamweight,11
3/3/14,Bethe Correia,Women's Bantamweight,12
3/3/14,Raquel Pennington,Women's Bantamweight,13
3/3/14,Jessamyn Duke,Women's Bantamweight,14
3/3/14,Jessica Rakoczy,Women's Bantamweight,15
3/10/14,Jon Jones,Pound-for-Pound,1
3/10/14,Jose Aldo,Pound-for-Pound,2
3/10/14,Renan Barao,Pound-for-Pound,3
3/10/14,Cain Velasquez,Pound-for-Pound,4
3/10/14,Demetrious Johnson,Pound-for-Pound,5
3/10/14,Chris Weidman,Pound-for-Pound,6
3/10/14,Anderson Silva,Pound-for-Pound,7
3/10/14,Anthony Pettis,Pound-for-Pound,8
3/10/14,Johny Hendricks,Pound-for-Pound,9
3/10/14,Ronda Rousey,Pound-for-Pound,10
3/10/14,Vitor Belfort,Pound-for-Pound,11
3/10/14,Benson Henderson,Pound-for-Pound,12
3/10/14,Alexander Gustafsson,Pound-for-Pound,13
3/10/14,Gilbert Melendez,Pound-for-Pound,14
3/10/14,Urijah Faber,Pound-for-Pound,15
3/10/14,Demetrious Johnson,Flyweight,0
3/10/14,John Dodson,Flyweight,1
3/10/14,Joseph Benavidez,Flyweight,2
3/10/14,Ian McCall,Flyweight,3
3/10/14,John Moraga,Flyweight,4
3/10/14,Ali Bagautinov,Flyweight,5
3/10/14,John Lineker,Flyweight,6
3/10/14,Jussier Formiga,Flyweight,7
3/10/14,Timothy Elliott,Flyweight,8
3/10/14,Chris Cariaso,Flyweight,9
3/10/14,Zach Makovsky,Flyweight,10
3/10/14,Brad Pickett,Flyweight,11
3/10/14,Louis Gaudinot,Flyweight,12
3/10/14,Dustin Ortiz,Flyweight,13
3/10/14,Scott Jorgensen,Flyweight,14
3/10/14,Darrell Montague,Flyweight,15
3/10/14,Renan Barao,Bantamweight,0
3/10/14,Urijah Faber,Bantamweight,1
3/10/14,Michael McDonald,Bantamweight,2
3/10/14,Raphael Assuncao,Bantamweight,3
3/10/14,Eddie Wineland,Bantamweight,4
3/10/14,TJ Dillashaw,Bantamweight,5
3/10/14,Takeya Mizugaki,Bantamweight,6
3/10/14,Mike Easton,Bantamweight,7
3/10/14,Iuri Alcantara,Bantamweight,8
3/10/14,Dominick Cruz,Bantamweight,9
3/10/14,Erik Perez,Bantamweight,10
3/10/14,Francisco Rivera,Bantamweight,11
3/10/14,Alex Caceres,Bantamweight,12
3/10/14,Brad Pickett,Bantamweight,13
3/10/14,Bryan Caraway,Bantamweight,14
3/10/14,Wilson Reis,Bantamweight,15
3/10/14,Jose Aldo,Featherweight,0
3/10/14,Chad Mendes,Featherweight,1
3/10/14,Frankie Edgar,Featherweight,2
3/10/14,Ricardo Lamas,Featherweight,3
3/10/14,Cub Swanson,Featherweight,4
3/10/14,Chan Sung Jung,Featherweight,5
3/10/14,Dustin Poirier,Featherweight,6
3/10/14,Dennis Siver,Featherweight,7
3/10/14,Nik Lentz,Featherweight,8
3/10/14,Clay Guida,Featherweight,9
3/10/14,Jeremy Stephens,Featherweight,10
3/10/14,Darren Elkins,Featherweight,11
3/10/14,Dennis Bermudez,Featherweight,12
3/10/14,Conor McGregor,Featherweight,13
3/10/14,Tatsuya Kawajiri,Featherweight,14
3/10/14,Erik Koch,Featherweight,15
3/10/14,Anthony Pettis,Lightweight,0
3/10/14,Benson Henderson,Lightweight,1
3/10/14,Gilbert Melendez,Lightweight,2
3/10/14,TJ Grant,Lightweight,3
3/10/14,Josh Thomson,Lightweight,4
3/10/14,Rafael dos Anjos,Lightweight,5
3/10/14,Nate Diaz,Lightweight,6
3/10/14,Khabib Nurmagomedov,Lightweight,7
3/10/14,Donald Cerrone,Lightweight,8
3/10/14,Jim Miller,Lightweight,9
3/10/14,Gray Maynard,Lightweight,10
3/10/14,Michael Johnson,Lightweight,11
3/10/14,Edson Barboza,Lightweight,12
3/10/14,Bobby Green,Lightweight,13
3/10/14,Rustam Khabilov,Lightweight,14
3/10/14,Diego Sanchez,Lightweight,15
3/10/14,Johny Hendricks,Welterweight,1
3/10/14,Carlos Condit,Welterweight,2
3/10/14,Robbie Lawler,Welterweight,3
3/10/14,Rory MacDonald,Welterweight,4
3/10/14,Jake Ellenberger,Welterweight,5
3/10/14,Jake Shields,Welterweight,6
3/10/14,Demian Maia,Welterweight,7
3/10/14,Matt Brown,Welterweight,8
3/10/14,Tarec Saffiedine,Welterweight,9
3/10/14,Dong Hyun Kim,Welterweight,10
3/10/14,Tyron Woodley,Welterweight,11
3/10/14,Hector Lombard,Welterweight,12
3/10/14,Mike Pyle,Welterweight,13
3/10/14,Rick Story,Welterweight,14
3/10/14,Josh Koscheck,Welterweight,15
3/10/14,Chris Weidman,Middleweight,0
3/10/14,Anderson Silva,Middleweight,1
3/10/14,Vitor Belfort,Middleweight,2
3/10/14,Lyoto Machida,Middleweight,3
3/10/14,Jacare Souza,Middleweight,4
3/10/14,Michael Bisping,Middleweight,5
3/10/14,Luke Rockhold,Middleweight,6
3/10/14,Mark Munoz,Middleweight,7
