Event_ID,Fight_ID,Date,B_ID,B_Name,B_HomeTown,B_Location,B_Age,B_Weight,R_ID,R_Name,R_HomeTown,R_Location,R_Age,R_Weight,WinningColor,Winby
855,7042,2/10/18,2812,Gregor Gillespie,"Rochester, New York United States","Long Island, New York United States",31.0,70.0,2774,Jordan Rinaldi,"Olean, New York United States","Charlotte, North Carolina United States",31.0,70.0,blue,KO/TKO
855,7043,2/10/18,1683,Bobby Green,"Fontana, California United States","Fontana, California United States",32.0,70.0,1092,Erik Koch,"Cedar Rapids, Iowa United States","Milwaukee, Wisconsin United States",30.0,70.0,blue,DEC
855,7050,2/10/18,2119,Andre Fili,"Federal Way, Washington United States ","Sacramento, California United States ",28.0,65.0,1907,Dennis Bermudez,"Saugerties, New York United States","Lindenhurst, New York United States",31.0,65.0,blue,DEC
855,7051,2/10/18,1993,Godofredo Pepey,"Fortaleza, Ceara Brazil","Fortaleza, Ceara Brazil",31.0,65.0,2213,Mirsad Bektic,Srebrenica Bosnia,"Montreal, Quebec Canada",27.0,65.0,red,KO/TKO
855,7052,2/10/18,2174,George Sullivan,"Red Bank, New Jersey United States","Belmar, New Jersey United States",37.0,77.0,2851,Niko Price,"Cape Coral, Florida United States","Cape Coral, Florida United States",29.0,77.0,red,SUB
855,7090,2/10/18,2905,Frank Camacho,Tamuning Guam,Saipan Northern Mariana Islands ,29.0,77.0,1340,Drew Dober,"Omaha, Nebraska United States ","Denver, Colorado United States",29.0,70.0,red,DEC
855,7107,2/10/18,3055,Cory Sandhagen,"Aurora, Colorado United States","Aurora, Colorado United States",26.0,61.0,2926,Austin Arnett,"Clarkston, Washington United States","Clarkston, Washington United States",26.0,65.0,blue,KO/TKO
856,7013,2/10/18,2955,Joseph Morales,"Clovis, California United States ","Sacramento, California United States ",24.0,56.0,2878,Deiveson Figueiredo,"Soure, Para Brazil","Soure, Para Brazil",30.0,56.0,red,KO/TKO
856,7015,2/10/18,1843,Anthony Smith,"Corpus Christi, Texas United States","Omaha, Nebraska United States",30.0,93.0,2087,Thiago Santos,Rio de Janeiro Brazil,Rio de Janeiro Brazil,34.0,93.0,red,KO/TKO
856,7032,2/10/18,3047,Priscila Cachoeira,Rio de Janeiro Brazil,"Niteroi, Rio de Janeiro Brazil",30.0,56.0,2731,Valentina Shevchenko,Bishkek Kyrgyzstan,Lima Peru,30.0,56.0,red,SUB
856,7033,2/10/18,3049,Polyana Viana,"São Geraldo do Araguaia, Para Brazil","São Geraldo do Araguaia, Para Brazil",26.0,52.0,3048,Maia Stevenson,"San Diego, California United States","San Diego, California United States",36.0,52.0,blue,SUB
856,7044,2/10/18,2954,Eryk Anders,"San Antonio , Texas United States","Birmingham, Alabama United States",31.0,93.0,346,Lyoto Machida,Salvador Brazil,"Balem, Brazil USA",40.0,84.0,red,DEC
856,7056,2/19/18,2758,Damir Hadzovic,Gorazde Bosnia,Copenhagen Denmark,32.0,70.0,2101,Alan Patrick,Amazonas Brazil,Rio de Janeiro Brazil,35.0,70.0,red,DEC
856,7057,2/10/18,2309,Joe Soto,"Porterville, California United States","Porterville, California United States",31.0,61.0,1706,Iuri Alcantara,Marajo Brazil,"Soure, Para Brazil",38.0,61.0,red,KO/TKO
856,7079,2/10/18,2872,Desmond Green,"Rochester, New York United States","Fort Lauderdale, Florida United States",28.0,70.0,2074,Michel Prazeres,"Belem, Para Brazil","Belem, Para Brazil",37.0,77.0,red,DEC
856,7080,2/10/18,1952,Tim Means,"Wilburton, Oklahoma United States","Albuquerque, New Mexico United States",34.0,77.0,1992,Sergio Moraes,São Paulo Brasil,Curitiba Brazil,36.0,77.0,red,DEC
856,7081,2/10/18,2359,Marlon Vera,"Chone, Manabi Ecuador","Chone, Manabi Ecuador",25.0,61.0,2183,Douglas Silva de Andrade,"Castanhal, Para Brazil","Castanhal, Para Brazil",33.0,61.0,red,DEC
857,7023,2/11/18,1294,Luke Rockhold,"Santa Cruz, California United States","Santa Cruz, California United States",33.0,84.0,1866,Yoel Romero,Pinar del Rio Cuba,"Coconut Creek, Florida United States",41.0,84.0,red,KO/TKO
857,7024,2/11/18,2849,Saparbeg Safarov,Dagestan Russia,Makhachkala Russia,31.0,93.0,2840,Tyson Pedro,Sydney Australia ,Sydney Australia ,27.0,93.0,red,SUB
857,7025,2/11/18,2505,Ben Nguyen,"Sioux Falls, South Dakota United States",Brisbane Australia,30.0,56.0,2011,Jussier Formiga,Rio Grande do Norte Brazil,Natal Brazil,33.0,56.0,red,SUB
857,7034,2/11/18,2764,Curtis Blaydes,"Chicago, Illinois United States","Chicago, Illinois  United States",27.0,120.0,735,Mark Hunt,South Auckland New Zealand,Sydney Australia,44.0,120.0,blue,DEC
857,7046,2/11/18,2709,Dong Hyun Kim,Suwon South Korea,Busan South Korea,36.0,77.0,2762,Damien Brown,"Albury, NSW Austrailia","Brisbane, QLD Australia",33.0,70.0,blue,DEC
857,7053,2/11/18,2355,Jose Quinonez,"Tlaltenango, Zacatecas Mexico","San Diego, California United States ",28.0,61.0,2655,Teruto Ishihara,Kagoshima Japan,Osaka Japan,27.0,61.0,blue,DEC
857,7059,2/11/18,1177,Mizuto Hirota,Nagasaki Japan,Tokyo Japan,37.0,70.0,875,Ross Pearson,Sunderland England,Sunderland England,34.0,70.0,red,DEC
857,7065,2/11/18,3051,Israel Adesanya,Lagos Nigeria,Auckland New Zealand,29.0,84.0,3004,Rob Wilkinson,"Hobart, Tasmania Australia",Sydney Australia,26.0,84.0,blue,KO/TKO
857,7068,2/11/18,2206,Li Jingliang,Xinjiang China,Beijing China,30.0,77.0,2258,Jake Matthews,"Melbourne, Victoria Australia","Epping, Victoria Australia",24.0,77.0,red,DEC
857,7069,2/11/18,2964,Daichi Abe,Niigata Prefecture Japan,Tokyo Japan,26.0,77.0,2891,Luke Jumeau,"Hamilton, Waikato New Zealand","Hamilton, Waikato New Zealand",30.0,77.0,red,DEC
857,7077,7/7/18,2807,Jeremy Kennedy,"Surrey, British Columbia Canada","Surrey, British Columbia Canada",26.0,65.0,2824,Alexander Volkanovski,Moscow Russia,Moscow Russia,29.0,113.0,red,KO/TKO
858,7026,3/5/18,768,Hector Lombard,Matanzas Cuba,"Matanzas, Cuba United States",40.0,84.0,507,CB Dollaway,"Mt. Gilead, Ohio United States","Tempe, Arizona United States",35.0,84.0,red,
858,7064,3/5/18,367,Andrei Arlovski,Minsk Belarus,"Chicago, Illinois United States",39.0,109.0,649,Stefan Struve,Beverwijk The Netherlands,Beverwijk The Netherlands,30.0,120.0,blue,DEC
858,7092,3/4/18,3054,Mackenzie Dern,"Glendale, Arizona United States","Glendale, Arizona United States",25.0,52.0,2845,Ashley Yoder,"Indianapolis, Indiana United States","Temecula, California United States",30.0,52.0,blue,DEC
858,7095,3/5/18,2809,Ketlen Vieira,"Manaus, Amazonas Brazil","Manaus, Amazonas Brazil",27.0,61.0,2017,Cat Zingano,,,,,blue,DEC
858,7096,3/5/18,2874,Andre Soukhamthath,"Providence , Rhode Island United States","Lake Worth, Florida United States ",29.0,61.0,2917,Sean O'Malley,"Helena, Montana United States","Glendale, Arizona United States",23.0,61.0,red,DEC
858,7097,3/5/18,2930,Cody Stamann,"Grand Rapids, Michigan United States","Sparta, Michigan United States",28.0,61.0,1184,Bryan Caraway,"Goldendale, Washington United States","Las Vegas, Nevada United States",34.0,61.0,blue,DEC
858,7098,3/4/18,2763,Adam Milstead,"Calvert County, Maryland United States","Pittsburgh, Pennsylvania United States",31.0,93.0,2856,Jordan Johnson,"Richmond, Virginia United States","San Diego, California United States",29.0,93.0,red,DEC
858,7132,3/5/18,2191,Pedro Munhoz,Sao Paulo Brazil,Sao Paulo Brazil,32.0,61.0,1904,John Dodson,"Albuquerque, New Mexico United States","Albuquerque, New Mexico United States",34.0,61.0,red,DEC
858,7133,3/5/18,3053,Yana Kunitskaya,Murmansk Russia,"Albuquerque, New Mexico United States",28.0,65.0,1194,Cris Cyborg,Curitiba Brazil,"Huntington Beach, California United States",33.0,65.0,red,KO/TKO
858,7134,3/5/18,2238,Brian Ortega,"Los Angeles, California United States ","Los Angeles, California United States ",27.0,65.0,451,Frankie Edgar,"Summit, New Jersey United States","Toms River, New Jersey United States",36.0,65.0,blue,KO/TKO
858,7135,3/6/18,2826,Zak Ottow,"Milwaukee, Wisconsin United States","Milwaukee, Wisconsin United States",31.0,77.0,870,Mike Pyle,"Dresden, Tennessee United States","Las Vegas, Nevada United States",43.0,77.0,blue,KO/TKO
858,7151,3/4/18,3058,Alexander Hernandez,"St. Louis, Missouri United States","San Antonio, Texas United States",26.0,70.0,2168,Beneil Dariush,Goetapeh Iran,"Yorba Linda, California United States",29.0,70.0,blue,KO/TKO
