Event_ID,B_Name,R_Name,winner,winby,Fight_ID
662,Kenny Robertson,Thiago Perpetuo,blue,SUB,4716
662,Noad Lahat,Godofredo Pepey,red,KO/TKO,4734
663,Kyle Noke,Patrick Cote,red,DEC,4696
663,Tim Gorman,Mitch Gagnon,red,DEC,4697
663,KJ Noons,Sam Stout,blue,KO/TKO,4698
663,Tim Kennedy,Michael Bisping,blue,DEC,4700
663,Mike de la Torre,Mark Bocek,red,DEC,4708
663,Leslie Smith,Sarah Kaufman,red,DEC,4733
663,Sean O'Connell,Ryan Jimmo,red,KO/TKO,4737
663,Dustin Kimura,George Roop,red,DEC,4743
663,Akira Corassani,Dustin Poirier,red,KO/TKO,4765
663,Olivier Aubin-Mercier,Chad Laprise,red,DEC,4811
663,Vik Grujic,Nordine Taleb,red,DEC,4813
663,Chris Indich,Richard Walsh,red,DEC,4814
664,Jake Ellenberger,Robbie Lawler,red,KO/TKO,4693
664,Chico Camus,Chris Holdsworth,red,DEC,4747
664,Aaron Phillips,Sam Sicilia,red,DEC,4748
664,James Krause,Jamie Varner,blue,KO/TKO,4750
664,Francisco Rivera,Takeya Mizugaki,red,DEC,4761
664,Mitch Clarke,Al Iaquinta,blue,SUB,4762
664,Francisco Trinaldo,Michael Chiesa,red,DEC,4764
664,Katsunori Kikuno,Tony Ferguson,red,KO/TKO,4768
664,Vinc Pichel,Anthony Njokuani,blue,DEC,4779
664,Li Jingliang,David Michaud,blue,DEC,4782
664,TJ Dillashaw,Renan Barao,blue,KO/TKO,4796
664,Dan Henderson,Daniel Cormier,red,SUB,4825
665,Roy Nelson,Minotauro Nogueira,blue,KO/TKO,4720
665,Tatsuya Kawajiri,Clay Guida,red,DEC,4751
665,Trevor Smith,Thales Leites,red,KO/TKO,4752
665,Beneil Dariush,Ramsey Nijem,red,KO/TKO,4755
665,Daniel Omielanczuk,Jared Rosholt,red,DEC,4756
665,Johnny Bedford,Rani Yahya,no contest,,4758
665,Jim Alers,Alan Omer,blue,DEC,4759
666,Gasan Umalatov,Paulo Thiago,blue,DEC,4775
666,Mark Eddiva,Kevin Souza,red,KO/TKO,4791
666,Ernest Chavez,Elias Silverio,red,SUB,4792
666,Robert Peralta,Rony Jason,blue,DEC,4816
666,Alexander Yakovlev,Demian Maia,red,DEC,4819
666,Rashid Magomedov,Rodrigo Damm,blue,,4820
666,Matt Hobar,Pedro Munhoz,red,KO/TKO,4821
666,Fabio Maldonado,Stipe Miocic,red,KO/TKO,4857
666,Antonio Carlos Junior,Vitor Miranda,blue,DEC,4879
666,Warlley Alves,Marcio Alexandre,blue,SUB,4880
666,Wagner Silva,Ricardo Abreu,red,SUB,4881
666,Richardson Moreira,Marcos Rogerio de Lima,red,KO/TKO,4882
667,Ben Wall,Justin Salas,red,KO/TKO,4738
667,Ruon Potts,Soa Palelei,red,KO/TKO,4742
667,Nik Lentz,Manvel Gamburyan,blue,DEC,4744
667,Darrell Montague,Kyoji Horiguchi,red,DEC,4745
667,Louis Smolka,Chris Cariaso,red,DEC,4746
667,Zak Cummings,Yan Cabral,blue,DEC,4749
667,Johnny Eduardo,Eddie Wineland,blue,KO/TKO,4760
